Designator,Component,Package,Value,Quantity,LCSC Part,Description,Unit Price (est)
SW1,Tactile Switch,6x6mm,N/A,1,C318884,6x6x4.3mm tactile push button,$0.03
SW2,Tactile Switch,6x6mm,N/A,1,C318884,6x6x4.3mm tactile push button,$0.03
LED1,Green LED,0603,Green,1,C72043,0603 green LED 20mA,$0.02
LED2,Blue LED,0603,Blue,1,C72041,0603 blue LED 20mA,$0.02
LED3,Red LED,0603,Red,1,C2286,0603 red LED 20mA,$0.02
R1,Resistor,0402,4.7kΩ,1,C25900,0402 4.7kΩ 1% resistor,$0.002
R2,Resistor,0402,4.7kΩ,1,C25900,0402 4.7kΩ 1% resistor,$0.002
R_CC1,Resistor,0402,5.1kΩ,1,C25905,0402 5.1kΩ 1% resistor,$0.002
R_CC2,Resistor,0402,5.1kΩ,1,C25905,0402 5.1kΩ 1% resistor,$0.002
R_ERST,Resistor,0402,10kΩ,1,C25744,0402 10kΩ 1% resistor,$0.002
R_TCK,Resistor,0402,10kΩ,1,C25744,0402 10kΩ 1% resistor,$0.002
R_TMS,Resistor,0402,10kΩ,1,C25744,0402 10kΩ 1% resistor,$0.002
R_RST,Resistor,0402,10kΩ,1,C25744,0402 10kΩ 1% resistor,$0.002
R_PROG,Resistor,0402,10kΩ,1,C25744,0402 10kΩ 1% resistor,$0.002
R_INIT,Resistor,0402,10kΩ,1,C25744,0402 10kΩ 1% resistor,$0.002
RL1,Resistor,0402,1kΩ,1,C11702,0402 1kΩ 1% resistor,$0.002
RL2,Resistor,0402,1kΩ,1,C11702,0402 1kΩ 1% resistor,$0.002
RL3,Resistor,0402,1kΩ,1,C11702,0402 1kΩ 1% resistor,$0.002
C1,Capacitor,0805,22µF,1,C45783,0805 22µF 10V X5R ceramic,$0.03
C2,Capacitor,0402,100nF,1,C1525,0402 100nF 16V X7R ceramic,$0.005
C3,Capacitor,0805,22µF,1,C45783,0805 22µF 10V X5R ceramic,$0.03
C4,Capacitor,0805,22µF,1,C45783,0805 22µF 10V X5R ceramic,$0.03
C5,Capacitor,0805,10µF,1,C15850,0805 10µF 16V X5R ceramic,$0.02
C6,Capacitor,0805,10µF,1,C15850,0805 10µF 16V X5R ceramic,$0.02
C7,Capacitor,0805,10µF,1,C15850,0805 10µF 16V X5R ceramic,$0.02
C8,Capacitor,0805,22µF,1,C45783,0805 22µF 10V X5R ceramic,$0.03
C10,Capacitor,0402,100nF,1,C1525,0402 100nF 16V X7R ceramic,$0.005
C11,Capacitor,0402,100nF,1,C1525,0402 100nF 16V X7R ceramic,$0.005
C12,Capacitor,0805,4.7µF,1,C1779,0805 4.7µF 16V X5R ceramic,$0.01
CX1,Capacitor,0402,18pF,1,C1478,0402 18pF 50V C0G/NP0,$0.005
CX2,Capacitor,0402,18pF,1,C1478,0402 18pF 50V C0G/NP0,$0.005
CF1,Capacitor,0402,100nF,1,C1525,0402 100nF 16V X7R ceramic,$0.005
CF2,Capacitor,0402,100nF,1,C1525,0402 100nF 16V X7R ceramic,$0.005
CF3,Capacitor,0805,4.7µF,1,C1779,0805 4.7µF 16V X5R ceramic,$0.01
CF4,Capacitor,0402,100nF,1,C1525,0402 100nF 16V X7R ceramic,$0.005
CR1,Capacitor,0402,100nF,1,C1525,0402 100nF 16V X7R ceramic,$0.005
CR2,Capacitor,0805,4.7µF,1,C1779,0805 4.7µF 16V X5R ceramic,$0.01
C_HESD,Capacitor,0402,100nF,1,C1525,0402 100nF 16V X7R ceramic,$0.005
C_RST,Capacitor,0402,100nF,1,C1525,0402 100nF 16V X7R ceramic,$0.005
